merchant_key,month_key,gmv,refunds,success_txn,failed_txn,refunded_txn,voided_txn,revenue,expected_revenue,cogs,cost_of_failed_attempts,gp,mid,merchant_name,country_code,segment,vertical,service,integration_type,account_manager,fiscal_year,date_key,net_gmv,billing_leakage,gp_margin,take_rate,aov,success_rate,refund_rate,is_active,is_live_month,is_first_txn_month,months_since_live,prev_month_gmv,gmv_mom,gmv_rank_in_month
1,202407,27503.533199999998,100.17869999999999,511,37,2,2,629.2216,629.2147,318.9388,0.48569999999999997,310.2828,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20240701,27403.354499999998,-0.006899999999973261,0.49312166015915543,0.022877846108877387,53.82296125244618,0.9324817518248175,0.0036423938434208152,1,0,1,46,,,193.0
1,202408,25748.023800000003,351.98929999999996,476,29,7,4,604.6296,604.6268,309.2296,0.40309999999999996,295.40000000000003,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20240801,25396.0345,-0.0027999999999792635,0.488563576774938,0.023482563349191868,54.09248697478992,0.9425742574257425,0.013670536532594006,1,0,0,47,27503.533199999998,-0.06382850476825266,213.0
1,202409,22104.8397,285.3092,411,30,6,7,514.6504,514.6395,262.8298,0.4457,251.8206,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20240901,21819.5305,-0.01089999999999236,0.48930419562483585,0.023282249814279357,53.78306496350365,0.9319727891156463,0.012907092015691023,1,0,0,48,25748.023800000003,-0.1414937366960179,233.0
1,202410,27802.0268,140.6454,507,24,3,3,653.3097,653.3116,333.3814,0.3363,319.92830000000004,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20241001,27661.3814,0.0018999999999778083,0.4897038877579807,0.023498635718170017,54.83634477317554,0.9548022598870056,0.005058818229755825,1,0,0,49,22104.8397,0.25773482989790686,202.0
1,202411,25622.7334,313.3733,475,33,6,11,599.0214,599.0266,305.8191,0.5392,293.2023,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20241101,25309.3601,0.005200000000058935,0.4894688236513754,0.023378512770226144,53.94259663157895,0.9350393700787402,0.012230283752630387,1,0,0,50,27802.0268,-0.07838613406415386,229.0
1,202412,25879.1976,118.416,476,39,2,3,598.9331999999999,598.9318000000001,304.49129999999997,0.5072,294.44190000000003,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20241201,25760.7816,-0.001399999999875945,0.49161058361767235,0.02314342234474843,54.36806218487395,0.9242718446601942,0.004575721466727392,1,0,0,51,25622.7334,0.010009244368908687,234.0
1,202501,23848.0561,300.35200000000003,449,31,5,11,564.9039,564.8986,289.3977,0.5072,275.5062,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250101,23547.704100000003,-0.005300000000033833,0.48770454585284323,0.023687628779102042,53.11371069042317,0.9354166666666667,0.012594401771807305,1,0,0,52,25879.1976,-0.07848548982832443,237.0
1,202502,27560.463900000002,348.9119,499,35,7,6,636.7042,636.7016,324.21610000000004,0.5068,312.4881,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250201,27211.552000000003,-0.0026000000000294676,0.4907900717476027,0.02310208573811415,55.23139058116233,0.9344569288389513,0.012659870358713373,1,0,0,53,23848.0561,0.1556691993860246,234.0
1,202503,28532.1492,166.5814,531,28,3,5,670.0878,670.0934,341.92810000000003,0.39509999999999995,328.1597,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250301,28365.5678,0.005599999999958527,0.4897264209257354,0.023485360156465185,53.73286101694915,0.9499105545617174,0.0058383754701521046,1,0,0,54,27560.463900000002,0.03525649290685551,243.0
1,202504,21668.2134,276.5573,394,34,5,3,497.7573,497.7585,253.2004,0.4563,244.5569,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250401,21391.6561,0.0012000000000398359,0.4913175557646267,0.022971773944223752,54.995465482233506,0.9205607476635514,0.012763271936393242,1,0,0,55,28532.1492,-0.2405684812555235,270.0
1,202505,29325.6483,177.704,542,24,3,6,691.7473,691.748,353.35220000000004,0.3552,338.3951,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250501,29147.9443,0.0007000000000516593,0.48918889889414824,0.023588474257191443,54.106362177121774,0.9575971731448764,0.006059678482879439,1,0,0,56,21668.2134,0.3533948442652868,236.0
1,202506,27394.4028,186.2212,514,26,4,6,640.3652,640.3616999999999,326.5605,0.39239999999999997,313.80469999999997,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2025,20250601,27208.1816,-0.003500000000030923,0.4900402145525709,0.02337576784115914,53.29650350194552,0.9518518518518518,0.006797782793790271,1,0,0,57,29325.6483,-0.0658551681532647,248.0
1,202507,27677.8615,512.2666,517,34,10,14,642.5177,642.5116,328.09880000000004,0.5899,314.4189,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20250701,27165.5949,-0.006099999999946704,0.4893544566943448,0.023214138129855157,53.53551547388781,0.9382940108892922,0.01850817123281002,1,0,0,58,27394.4028,0.01034732175289469,252.0
1,202508,22505.754800000002,304.08000000000004,423,25,5,4,527.011,527.0193,269.0588,0.3497,257.9522,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20250801,22201.6748,0.00830000000007658,0.489462648787217,0.023416721842184112,53.205094089834525,0.9441964285714286,0.013511210919262304,1,0,0,59,27677.8615,-0.18686800278988305,313.0
1,202509,27528.7253,127.71990000000001,528,26,3,5,641.6399,641.6419000000001,326.7285,0.36319999999999997,314.91139999999996,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20250901,27401.0054,0.002000000000066393,0.4907914860032862,0.02330801346621015,52.137737310606056,0.9530685920577617,0.004639513766371159,1,0,0,60,22505.754800000002,0.22318604928549188,288.0
1,202510,25799.875,509.8987,482,79,9,4,597.4424,597.4513000000001,305.2457,1.0003,292.1967,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20251001,25289.9763,0.008900000000039654,0.48907928195253636,0.023156794364313782,53.52671161825726,0.8591800356506238,0.01976361125780648,1,0,0,61,27528.7253,-0.062801683737968,294.0
1,202511,24330.0883,266.1546,456,22,6,4,555.6857,555.683,281.9788,0.3044,273.7069,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20251101,24063.933699999998,-0.0027000000000043656,0.4925570335893114,0.02283944444213135,53.35545679824561,0.9539748953974896,0.010939319114596063,1,0,0,62,25799.875,-0.05696875275558508,320.0
1,202512,26399.5657,297.9227,495,40,5,7,617.5786,617.5825,315.3705,0.5842999999999999,302.2081,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20251201,26101.643,0.0038999999999305146,0.4893435426680911,0.023393513628900346,53.33245595959596,0.9252336448598131,0.011285136406618993,1,0,0,63,24330.0883,0.08505835961146099,310.0
1,202601,29779.6693,306.0374,546,28,5,7,692.4375,692.439,352.7231,0.4298,339.7144,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260101,29473.6319,0.0014999999999645297,0.49060658904233234,0.02325202113644694,54.54151886446887,0.9512195121951219,0.010276722582678243,1,0,0,64,26399.5657,0.12803633356741176,295.0
1,202602,31161.890900000002,264.61060000000003,576,41,5,8,703.2404,703.233,355.5364,0.6137,347.704,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260201,30897.280300000002,-0.007400000000075124,0.49443120730834006,0.02256732116342786,54.100505034722225,0.93354943273906,0.008491480855547184,1,0,0,65,29779.6693,0.04641494121628814,296.0
1,202603,24233.0614,219.3813,460,30,3,6,554.0078,554.0001,280.9257,0.4297,273.0821,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260301,24013.680099999998,-0.007699999999999818,0.49292103829585077,0.022861651314100992,52.68056826086956,0.9387755102040817,0.009052975040124317,1,0,0,66,31161.890900000002,-0.22234945633546271,353.0
1,202604,23680.333,289.13329999999996,434,29,5,11,547.2131,547.2044,278.5685,0.4647999999999999,268.64459999999997,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260401,23391.199699999997,-0.008700000000089858,0.4909323259987744,0.023108336356587558,54.562979262672805,0.937365010799136,0.012209849413857481,1,0,0,67,24233.0614,-0.022808855673513873,350.0
1,202605,22598.4477,207.4533,431,29,5,6,516.6643,516.6506,262.3548,0.427,254.30949999999999,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260501,22390.9944,-0.013699999999971624,0.4922141901424193,0.022862822564578188,52.43259327146172,0.9369565217391305,0.009179980092172437,1,0,0,68,23680.333,-0.0456870813429861,364.0
1,202606,27322.431800000002,247.8266,514,29,5,11,640.6614,640.6606,327.1525,0.478,313.5089,SA138962665,Bright Labs,SA,SME,Healthcare,Online Checkout,Hosted Checkout,Reem Al-Ghamdi,2026,20260601,27074.6052,-0.0007999999999128704,0.4893519416028498,0.023448183700837344,53.15648210116732,0.9465930018416207,0.00907044445436222,1,0,0,69,22598.4477,0.20904020323484437,332.0
2,202407,46535.2865,1154.2519,654,84,15,9,1197.1685,1197.1732,811.2768,1.5387,385.8917,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,Layla Haddad,2025,20240701,45381.0346,0.004699999999957072,0.3223369976740952,0.02572603695047628,71.15487232415903,0.8861788617886179,0.024803799155722398,1,0,1,45,,,146.0
2,202408,44761.5251,2012.5255,651,87,28,13,1137.9227,1137.9242,767.2191,1.6665,370.7036,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,Layla Haddad,2025,20240801,42748.999599999996,0.0014999999998508429,0.3257722163377178,0.025421892964053634,68.75810307219662,0.8821138211382114,0.04496105741490922,1,0,0,46,46535.2865,-0.038116481779907015,160.0
2,202409,49460.31080000001,2075.9458,699,86,27,10,1252.5908,1252.5717,844.5535,1.5931,408.0373000000001,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,Layla Haddad,2025,20240901,47384.365000000005,-0.019099999999980355,0.3257546678452373,0.025325170419268773,70.75867067238913,0.8904458598726115,0.0419719521859535,1,0,0,47,44761.5251,0.10497376238862799,156.0
2,202410,45296.5802,1645.6936,647,89,21,9,1161.6117,1161.6189,787.4476000000001,1.6068,374.1641,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,Layla Haddad,2025,20241001,43650.8866,0.0072000000000116415,0.3221077232607076,0.02564457835163459,70.01017032457496,0.8790760869565217,0.03633151979097972,1,0,0,48,49460.31080000001,-0.08418326801132858,159.0
2,202411,68004.7514,2033.3505,960,110,29,15,1773.4625,1773.4643999999998,1212.5965999999999,2.0176999999999996,560.8659,AE208762198,Sand Deals,AE,Online,E-commerce,Online Checkout,Direct API,Layla Haddad,2025,20241101,65971.4009,0.0018999999997504347,0.31625472768665813,0.026078508684909334,70.83828270833332,0.897196261682243,0.029900124008099827,1,0,0,49,45296.5802,0.5013219783863506,132.0
