month_key,fiscal_year,gmv,net_gmv,refunds,revenue,cogs,gp,success_txn,failed_txn,active_merchants,newly_transacting_merchants,billing_leakage,cost_of_failed_attempts,new_live_merchants,activated_merchants,date_key,gp_margin,take_rate,aov,success_rate,failure_rate,refund_rate,gmv_mom,gmv_yoy,revenue_mom,revenue_yoy,gp_mom,gp_yoy,active_merchants_mom,active_merchants_yoy,gmv_3m_avg,fytd_gmv
202407,2025,67507257.1864,66653134.2444,854122.942,1207563.6526,902731.1199,304832.5327,2335176,220075,454,454,0.23349999999752846,3546.2591,7,6,20240701,0.2524359954389704,0.017887908692034306,28.908851917971063,0.9138734316120021,0.08612656838799793,0.012652312915656001,,,,,,,,,67507257.1864,67507257.1864
202408,2025,71299530.4862,69975536.9138,1323993.5724,1271978.7422,954297.8717,317680.8705,2397731,224998,464,10,0.24739999997379414,3624.6085,10,9,20240801,0.2497532859319196,0.017839931532875816,29.736250849740863,0.9142122575378546,0.08578774246214538,0.018569457097003722,0.056175786987298894,,0.05334301795297351,,0.042148840500054796,,0.022026431718061675,,69403393.8363,138806787.6726
202409,2025,74443691.2669,73125309.8169,1318381.45,1319051.0971,991944.3835,327106.7136,2560628,237058,474,10,0.3835999999949582,3770.2338,13,11,20240901,0.24798638530316267,0.01771877609307226,29.07243506940485,0.9152664023053337,0.08473359769466626,0.01770978074251127,0.04409791704460872,,0.0370071867856723,,0.02967079221724809,,0.021551724137931036,,71083492.97983333,213250478.9395
202410,2025,72244408.1831,70890615.4137,1353792.7693999999,1284036.9929,964540.0019,319496.991,2607680,242819,488,16,0.5823999999882297,3839.9095,19,17,20241001,0.24882226350692235,0.01777351389806765,27.70447607954197,0.9148152656780444,0.08518473432195561,0.018739066502820215,-0.029542907483120374,,-0.026544918750289668,,-0.023263731019918868,,0.029535864978902954,,72662543.31206667,285494887.1226
202411,2025,77696440.3481,76251107.3548,1445332.9933,1405835.5939,1049764.333,356071.2609,2804122,257090,499,14,0.3560999999481753,4085.016,17,15,20241101,0.25328086900418034,0.01809395112055965,27.707938651777635,0.9160169240157167,0.08398307598428334,0.018602306448333245,0.07546649356144065,,0.09485599065562562,,0.11447453631887261,,0.022540983606557378,,74794846.59936666,363191327.4707
202412,2025,77423997.6889,75846853.0869,1577144.602,1400290.4305,1051289.0628,349001.3677,2825931,260666,516,19,44.9462999999714,4135.1975999999995,15,15,20241201,0.2492349873271522,0.018086000107183236,27.39769572891199,0.9155490658482465,0.08445093415175353,0.02037022950348261,-0.0035065011727615785,,-0.003944389674056296,,-0.01985527610998496,,0.03406813627254509,,75788282.07336666,440615325.1596
202501,2025,76497155.858,75062659.4804,1434496.3776,1357944.8834,1027839.9403,330104.9431,2782145,262317,526,15,96.88840000000127,4176.5384,21,17,20250101,0.2430915622094239,0.017751573482296824,27.495747294982827,0.9138379785985176,0.08616202140148244,0.018752283813829946,-0.011970989080467962,,-0.030240545945086413,,-0.05414427090796764,,0.01937984496124031,,77205864.63166668,517112481.0176
202502,2025,81147422.151,79776000.0078,1371422.1432,1447612.3962,1094353.2078,353259.1884,2945141,278888,541,18,115.78179999999827,4448.7372,20,16,20250201,0.24402885007568986,0.017839289996252346,27.552983762407298,0.9134970560128336,0.0865029439871664,0.016900378432823694,0.060790054752260146,,0.06603177632327176,,0.07014207385857231,,0.028517110266159697,,78356191.8993,598259903.1686
202503,2025,92324884.0777,90646907.9862,1677976.0915,1658461.367,1254732.5807,403728.7863,3465977,328847,557,20,106.1931999999859,5222.6292,22,20,20250301,0.24343574974574608,0.017963319245592014,26.637477420565688,0.913343280215367,0.08665671978463296,0.01817468939454965,0.13774266181741263,,0.1456529188016634,,0.14286846473432024,,0.029574861367837338,,83323154.02890001,690584787.2463
202504,2025,86944546.8679,85326306.4722,1618240.3957,1540027.1527,1165590.4688,374436.6839,3099368,293304,562,7,83.51529999998456,4649.5912,11,6,20250401,0.24313641694143617,0.01771275149711062,28.052347081050073,0.9135477877024363,0.08645221229756372,0.018612327673162624,-0.0582761328492105,,-0.07141210320396936,,-0.07255391092730704,,0.008976660682226212,,86805617.69886667,777529334.1142
